# HRMSv2/CAN LOGGER made by brzanad
# TIMESTAMP - human readable format
# ID - HEX format
# DATA - HEX format
# HH:MM:SS,KKK;ID;DATADATADATADATA
18:29:17,972;20;000080FF396F1040
18:29:17,979;20;000080FF396F1040
18:29:17,986;20;000080FF396F1040
18:29:17,993;20;000080FF396F1040
18:29:18,000;20;000080FF396F1040
18:29:18,003003;2C;FF0DD800FF0D0C01
18:29:18,004;28;FF170D001D290200
18:29:18,005;29;FF130D10A3010200
18:29:18,006;20;000080FF396F1040
18:29:18,012;20;000080FF396F1040
18:29:18,017;0D;0000000000000000
18:29:18,019;20;000080FF396F1040
18:29:18,026;20;000080FF396F1040
18:29:18,033;20;000080FF396F1040
18:29:18,040;20;000080FF396F1040
18:29:18,045;20;000080FF396F1040
18:29:18,052;20;000080FE396F1040
18:29:18,059;20;000080FF396F1040
18:29:18,060;2B;FD7B0D0060CF0100
18:29:18,061;2A;913FAD4125140200
18:29:18,062;2D;1B00640AFF0D8D00
18:29:18,066;20;000080FE396F1040
18:29:18,067;0D;0000000000000000
18:29:18,073;20;000080FE396F1040
18:29:18,075;14;00000000E60B2EC0
18:29:18,076;15;ACB9FB3F4FC912B6
18:29:18,080;20;000080FF396F1040
18:29:18,086;20;000080FE396F1040
18:29:18,093;20;000080FE396F1040
18:29:18,099;20;000080FF396F1040
18:29:18,104;2C;FF0DD700FF0D1301
18:29:18,105;28;FF170D00DD280200
18:29:18,106;29;FF130D10E3010200
18:29:18,107;20;000080FE396F1040
18:29:18,113;20;000080FF396F1040
18:29:18,116;17;3375744100000000
18:29:18,117;0D;0000000000000000
18:29:18,120;20;000080FF396F1040
18:29:18,126;20;000080FF396F1040
18:29:18,132;20;000080FF396F1040
18:29:18,139;20;000080FF396F1040
18:29:18,146;20;000080FF396F1040
18:29:18,153;20;000080FF396F1040
18:29:18,159;20;000080FF396F1040
18:29:18,160;2B;FD7F0D00E0CF0100
18:29:18,161;2A;913FAD4125170200
18:29:18,162;2D;1B00640AFF0D8B00
18:29:18,166;20;000080FF396F1040
18:29:18,167;0D;0000000000000000
18:29:18,172;20;000080FF396F1040
18:29:18,179;20;000080FF396F1040
18:29:18,186;20;000080FF396F1040
18:29:18,193;20;000080FF396F1040
18:29:18,201;20;000080FF396F1040
18:29:18,206;2C;FF0DDE00FF0D0E01
18:29:18,207;28;FF170D005D290200
18:29:18,208;29;FF130D10A3010200
18:29:18,209;20;000080FF396F1040
18:29:18,213;20;000080FF396F1040
18:29:18,218;0D;0000000000000000
18:29:18,220;20;000080FF396F1040
18:29:18,226;20;000080FF396F1040
18:29:18,233;20;000080FF396F1040
18:29:18,239;20;000080FF396F1040
18:29:18,246;20;000080FF396F1040
18:29:18,252;20;000080FF396F1040
18:29:18,259;20;000080FF396F1040
18:29:18,260;2B;FD7B0D00A0CF0100
18:29:18,261;2A;913FAD4165170200
18:29:18,262;2D;1B00640AFF0D9100
18:29:18,266;20;000080FF396F1040
18:29:18,267;0D;0000000000000000
18:29:18,273;20;000080FF396F1040
18:29:18,279;20;000080FF396F1040
18:29:18,286;20;000080FF396F1040
18:29:18,292;20;000080FF396F1040
18:29:18,299;20;000080FF396F1040
18:29:18,304;2C;FF0DD500FF0D1201
18:29:18,304;28;FF130D005D250200
18:29:18,305;29;FF130D10A3010200
18:29:18,306;20;000080FF396F1040
18:29:18,312;20;000080FF396F1040
18:29:18,317;0D;0000000000000000
18:29:18,319;20;000080FF396F1040
18:29:18,325;14;00000000E60B2EC0
18:29:18,326;15;ACB9FB3F95F89936
18:29:18,327;20;000080FF396F1040
18:29:18,333;20;000080FF396F1040
18:29:18,339;20;000080FF396F1040
18:29:18,346;20;000080FF396F1040
18:29:18,352;20;000080FF396F1040
18:29:18,359;20;000080FF396F1040
18:29:18,360;2B;FD7F0D00E0CF0100
18:29:18,361;2A;913FAD41E5130200
18:29:18,362;2D;1B00640AFF0D8A00
18:29:18,366;17;3375744100000000
18:29:18,367;20;000080FF396F1040
18:29:18,368;0D;0000000000000000
18:29:18,373;000080FF396F1040
18:29:18,379;20;000080FF396F1040
18:29:18,386;20;000080FF396F1040
18:29:18,393;20;000080FF396F1040
18:29:18,399;20;000080FF396F1040
18:29:18,404;2C;FF0DDB00FF0D0801
18:29:18,405;28;FF130D00DD280200
18:29:18,406;29;FF130D1063FF0100
18:29:18,407;20;000080FF396F1040
18:29:18,413;20;000080FF396F1040
18:29:18,417;0D;0000000000000000
18:29:18,419;20;000080FF396F1040
18:29:18,426;20;000080FF396F1040
18:29:18,432;20;000080FF396F1040
18:29:18,439;20;000080FF396F1040

18:29:18,446;20;000080FF396F101040
18:29:18,457;20;000080FF396F1040
18:29:18,459;20;000080FF396F1040
18:29:18,460;2B;FD7B0D00A0CF0100
18:29:18,461;2A;913FAD41A5170200
18:29:18,462;2D;1B00640AFF0D8E00
18:29:18,466;20;000080FF396F1040
18:29:18,467;0D;0000000000000000
18:29:18,472;20;000080FF396F1040
18:29:18,480;20;000080FF396F1040
18:29:18,486;20;000080FF396F1040
18:29:18,493;20;000080FF396F1040
18:29:18,500;20;000080FF396F1040
18:29:18,503;2C;FF0DD700FF0D0801
18:29:18,504;28;FF130D009D250200
18:29:18,505;29;FF130D10A3010200
18:29:18,506;20;000080FF396F1040
18:29:18,512;20;000080FF396F1040
18:29:18,517;0D;0000000000000000
18:29:18,519;20;000080FF396F1040
18:29:18,526;20;000080FF396F1040
18:29:18,533;20;000080FF396F1040
18:29:18,540;20;000080FF396F1040
18:29:18,545;20;000080FF396F1040
18:29:18,553;20;000080FF396F1040
18:29:18,558;01;0002000001010081
18:29:18,559;20;000080FF396F1040
18:29:18,560;2B;FD7F0D00E0CF0100
18:29:18,561;2A;913FAD4165170200
18:29:18,562;2D;1B00640AFF0D9000
18:29:18,566;20;000080FF396F1040
18:29:18,567;0D;0000000000000000
18:29:18,573;20;000080FF396F1040
18:29:18,574;14;00000000E60B2EC0
18:29:18,575;15;ACB9FB3F20901C37
18:29:18,580;20;000080FF396F1040
18:29:18,586;20;000080FF396F1040
18:29:18,593;20;000080FF396F1040
18:29:18,599;20;000080FF396F1040
18:29:18,605;2C;FF0DD300FF0D0901
18:29:18,606;28;FF170D009D270200
18:29:18,606;29;FF130D10A3010200
18:29:18,607;20;000080FF396F1040
18:29:18,613;20;000080FF396F1040
18:29:18,616;17;3375744100000000
18:29:18,617;0D;0000000000000000
18:29:18,620;20;000080FF396F1040
18:29:18,626;20;000080FF396F1040
18:29:18,632;20;000080FF396F1040
18:29:18,639;20;000080FF396F1040
18:29:18,646;20;000080FF396F1040
18:29:18,653;20;000080FF396F1040
18:29:18,660;20;000080FF396F1040
18:29:18,661;2B;FD7F0D00E0D00100
18:29:18,661;2A;913FAD4125140200
18:29:18,662;2D;1B00640AFF0D8B00
18:29:18,666;20;000080FF396F1040
18:29:18,667;0D;0000000000000000
18:29:18,672;20;000080FF396F1040
18:29:18,679;20;000080FF396F1040
18:29:18,686;20;000080FF396F1040
18:29:18,693;20;000080FF396F1040
18:29:18,699;20;000080FF396F1040
18:29:18,706;2C;FF0DD500FF0D1201
18:29:18,707;28;FF170D001D290200
18:29:18,708;29;FF130D10A3010200
18:29:18,709;20;000080FF396F1040
18:29:18,713;20;000080FF396F1040
18:29:18,718;0D;0000000000000000
18:29:18,720;20;000080FF396F1040
