# HRMSv2/CAN LOGGER made by brzanad
# TIMESTAMP - human readable format
# ID - HEX format
# DATA - HEX format
# HH:MM:SS,KKK;ID;DATADATADATADATA
02:15:07,883;40;A003C60C02000000
02:15:07,893;40;A003C90C02000000
02:15:07,903;40;A003C80C02000000
02:15:07,913;40;A103C70C02000000
02:15:07,923;40;A103C20C02000000
02:15:07,933;40;A103C80C02000000
02:15:07,943;40;A103C60C02000000
02:15:07,953;40;A103C40C02000000
02:15:07,966;40;A103C30C02000000
02:15:07,976;40;A103CC0C02000000
02:15:07,986;40;A103C80C02000000
02:15:07,996;40;A103C50C02000000
02:15:08,006;40;A103C50C02000000
02:15:08,016;40;A203C70C02000000
02:15:08,026;40;A203C80C02000000
02:15:08,036;40;A203CE0C02000000
02:15:08,045;40;A203CA0C02000000
02:15:08,056;40;A203CA0C02000000
02:15:08,063;40;A203C30C02000000
02:15:08,073;40;A203C50C02000000
02:15:08,084;40;A203CC0C02000000

02:15:08,093;40;A203C60C02000000
02:15:08,118;40;A203C90C02000000
02:15:08,118;40;A303B70C02000000
02:15:08,123;40;A303C30C02000000
02:15:08,133;40;A303C50C02000000
02:15:08,143;40;A303C60C02000000
02:15:08,153;40;A303C30C02000000
02:15:08,166;40;A303E20C02000000
02:15:08,176;40;A303C50C02000000
02:15:08,186;40;A303C80C02000000
02:15:08,196;40;A303C80C02000000
02:15:08,206;40;A303C60C02000000
02:15:08,216;40;A403C80C02000000
02:15:08,226;40;A403C80C02000000
02:15:08,236;40;A403C60C02000000
02:15:08,246246;40;A403C30C02000000
02:15:08,256;40;A403CD0C02000000
02:15:08,263;40;A403C00C02000000
02:15:08,273;40;A403B90C02000000
02:15:08,283;40;A403BA0C02000000
02:15:08,293;40;A403BB0C02000000
02:15:08,303;40;A403B60C02000000
02:15:08,313;40;A503B60C02000000
02:15:08,323;40;A503BA0C02000000
02:15:08,334;40;A503BA0C02000000
02:15:08,343;40;A503BD0C02000000
02:15:08,353;40;A503B80C02000000
02:15:08,366;40;A503B50C02000000
02:15:08,376;40;A503BA0C02000000
